Date,Close/Last,Volume,Open,High,Low
03/14/2025,$249.98,100242300,$247.31,$251.58,$240.73
03/13/2025,$240.68,114813500,$248.125,$248.29,$232.60
03/12/2025,$248.09,142215700,$247.22,$251.84,$241.10
03/11/2025,$230.58,174896400,$225.305,$237.0649,$217.02
03/10/2025,$222.15,189076900,$252.535,$253.37,$220.00
03/07/2025,$262.67,102369600,$259.32,$266.2499,$250.73
03/06/2025,$263.45,98451570,$272.06,$272.65,$260.02
03/05/2025,$279.10,94042910,$272.92,$279.55,$267.71
03/04/2025,$272.04,126706600,$270.93,$284.35,$261.8401
03/03/2025,$284.65,115551400,$300.34,$303.94,$277.30
02/28/2025,$292.98,115697000,$279.50,$293.88,$273.60
02/27/2025,$281.95,101748200,$291.16,$297.23,$280.88
02/26/2025,$290.80,100118300,$303.715,$309.00,$288.04
02/25/2025,$302.80,134228800,$327.025,$328.89,$297.2512
02/24/2025,$330.53,76052320,$338.14,$342.3973,$324.70
02/21/2025,$337.80,74058650,$353.44,$354.98,$334.42
02/20/2025,$354.40,45965350,$361.51,$362.30,$348.00
02/19/2025,$360.56,67094370,$354.00,$367.34,$353.67
02/18/2025,$354.11,51631700,$355.01,$359.10,$350.02
